108045259744,2022.04.05.10.06.13,49837588,恐惧魔王K0ngjumow4ng,来补课了！看的我好心动，有机会我也想去重庆玩,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
108045776176,2022.04.05.10.09.38,4890593,阿盐是只喵,好呀好呀！重庆真的好玩,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=108045259744&type=1
96780641072,2021.12.29.18.30.19,39252048,wait等我,哈哈哈哈，我3年前也去过[支持][脸红],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
96799225856,2021.12.29.21.17.37,4890593,阿盐是只喵,哈哈哈好久了,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=96780641072&type=1
5788838389,2021.11.18.21.18.14,119129318,小面火锅豆花,"品正宗重庆火锅基础知识之五
重庆火锅各种食材的烫涮时间非常讲究，各有不同，想真正体验到重庆火锅的美妙，除了食材品质和底料味道以外，就是靠食客的烫煮技巧了。如果食客没把握好各种食材的烫煮时间，不但品尝体验降档，甚至可称暴殄天物。
而正宗重庆火锅荤菜最简明的烫食技巧是：
1，烫煮20秒左右口感最佳的菜品有鲜牛毛肚、鲜鸭（鹅）肠、鲜牛肝、腰片等。
2，烫煮10分钟左右口感最佳的菜品有郡花、带皮牛肉、梅林午餐肉等。
3，烫煮半小时左右口感最佳的菜品有肥肠、老肉片等。
4，既可烫煮20秒、又可烫煮10分钟以上，皆能呈现最佳口感的菜品有鲜猪黄喉和鳝鱼片。
——所以，看似狂放、随意的重庆火锅，其实最为讲究！",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5788837996,2021.11.18.21.18.03,119129318,小面火锅豆花,"品正宗重庆火锅基础知识之四
正宗重庆火锅主点的荤菜主要有——鲜牛毛肚、鲜猪黄喉、鲜鸭（鹅）肠、鲜牛肝、肥肠、腰片、郡花、鳝鱼片、老肉片、带皮牛肉、梅林午餐肉等。切忌点——肥牛、羊肉等涮羊肉餐饮的主打菜，因为这类菜口感没有特别之处（既不脆又不嫰），关键是不擅于汲取重庆火锅底料的香味。",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5788837513,2021.11.18.21.17.48,119129318,小面火锅豆花,"品正宗重庆火锅基础知识之三
重庆火锅调料碟的调料必须仅用香油加蒜泥。因为只有这种油碟才不会破坏和改变重庆火锅本味，也才能吃出该店家的火锅底料制作水平。而且香油减辣降燥、蒜茸提香杀菌（因为烫食中有时会因为技巧不足而食用到还未煮熟的菜品），有非常重要的实际作用。",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5788837135,2021.11.18.21.17.37,119129318,小面火锅豆花,"品正宗重庆火锅基础知识之二
重庆火锅吃起辣不辣，完全由食客自己决定。如果点微微辣的锅底、点菜荤多素少、只用重庆传统的蒜茸香油碟、烫好的菜多在香碟里泡泡、泡过后充分沥油和冷却。。。经过这样的程序技巧后，辣味至少降低70%，而且重庆火锅的特别味道没变！所有怕辣者都不会怕了！另:一是吃正宗重庆火锅只能用香油蒜茸碟，香油可以减辣降燥，蒜茸可以消毒提香，关键是仅用此两种调料才能吃出重庆火锅的底料原味。二是当锅里水位降了三分之一甚至一半时，必须立即请服务员加汤，不然越吃越辣。",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5788832952,2021.11.18.21.17.25,119129318,小面火锅豆花,"品正宗重庆火锅基础知识之一
正宗地道重庆火锅的灵魂，不是麻和辣，而是纯纯的牛油带来的醇、厚、香。。。突出的是高难度手艺熬制出的复合味、永远沸水消毒的卫生、随时加人也感觉不是吃剩菜的方便、包罗万象的菜品、平等团聚的氛围和可以吃一通宵而不凉的美味。。。可是传到成都后，现在很少用牛油了，这种错误的改变，让重庆发明和传到成都的麻辣火锅，失去了灵魂的味道。",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5638175928,2021.10.24.14.05.02,10644268,wooooooooolf,不能吃辣来重庆真的少了好多乐趣[妙啊],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5638862796,2021.10.24.16.21.43,4890593,阿盐是只喵,hhh是哒！所以我忍着吃了一些（然后就被辣晕了,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5638175928&type=1
5633048508,2021.10.23.18.04.05,119129318,小面火锅豆花,"吃正宗重庆火锅完全不用挑战，因为重庆火锅吃起辣不辣，完全由食客自己决定。
如果点微微辣的锅底、点菜荤多素少、只用重庆传统的蒜茸香油碟、烫好的菜多在香碟里泡泡、泡过后充分沥油和冷却。。。经过这样的程序技巧后，辣味至少降低70%，而且重庆火锅的特别味道没变！所有怕辣者都不会怕了！另:一是吃正宗重庆火锅只能用香油蒜茸碟，可以减辣降燥消毒。二是当锅里水位降了三分之一甚至一半时，必须立即请服务员加汤，不然越吃越辣。",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5633217134,2021.10.23.18.31.34,4890593,阿盐是只喵,确实hhh辣的程度肯定是根据客人需求的～我也尝试了一下香油碟真的好赞也没这么烫嘴。涨知识了,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5633048508&type=1
5645003945,2021.10.25.18.37.04,119129318,小面火锅豆花,回复 @阿盐是只喵 :而且只有用香油蒜蓉碟才能吃出火锅地底料的好坏和食材的新鲜度。重庆火锅在传到成都及全国其它地方后，调味碟被带偏了。,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5633048508&type=1
5645009713,2021.10.25.18.37.57,119129318,小面火锅豆花,回复 @阿盐是只喵 :注意沥油和冷却，这样吃起更健康更不辣。,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5633048508&type=1
5767773883,2021.11.15.07.44.50,376152648,十月半西瓜,哇专家！,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5633048508&type=1
5787846155,2021.11.18.18.37.41,119129318,小面火锅豆花,回复 @十月半西瓜 :吃正宗重庆火锅火锅，从选锅底开始，到点菜、烫煮时间烫煮位置、到油碟、到消毒冷却和沥油，整个过程和技巧堪称对食客的能力要求最高、最为复杂的中餐。能力达到了，可吃到最美味、最卫生的饮食，做不到或者没做好，吃出的感觉是南辕北辙，甚至叫暴殄天物。,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5633048508&type=1
5787886311,2021.11.18.18.43.43,376152648,十月半西瓜,回复 @小面火锅豆花 :感觉下次去重庆吃火锅要翻出你的这个理论对照啦！哈哈哈不然暴殄天物～,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5633048508&type=1
5787943176,2021.11.18.18.53.46,119129318,小面火锅豆花,回复 @十月半西瓜 :回复 @十月半西瓜 :别说非重庆人不懂我说的这些，就是吃了几十年重庆火锅的99%的重庆本地人也不怎么懂。都是在遭踏这一极品而最卫生的美食。,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5633048508&type=1
5631253882,2021.10.23.12.18.26,646828191,bili_75750767139,欢迎来重庆[doge],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5633226390,2021.10.23.18.31.55,4890593,阿盐是只喵,[给心心],https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5631253882&type=1
5629842701,2021.10.23.03.34.07,384212582,琉璃浅梦,嘿大一个，蹦迪的[滑稽],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628823040,2021.10.22.22.52.15,22277500,通航小飞机,救命我看着已经顶不住惹,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628976049,2021.10.22.23.14.57,4890593,阿盐是只喵,哈哈哈哈是辣吗？,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5628823040&type=1
5628239252,2021.10.22.21.17.48,6733766,小殇丶D,[热词系列_三连],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628202278,2021.10.22.21.11.42,15882465,bxg是真的呀,哈哈哈哈哈四川的面也是一两二两[嗑瓜子],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628289598,2021.10.22.21.27.02,4890593,阿盐是只喵,哈哈哈好有趣,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5628202278&type=1
5628179293,2021.10.22.21.08.19,1069427347,侯慧的格格拉,up主在的地方真好看啊！,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628297040,2021.10.22.21.27.16,4890593,阿盐是只喵,[给心心],https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5628179293&type=1
5628162395,2021.10.22.21.05.14,278426231,曦孤狼,大晚上放毒把我看馋了,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628175323,2021.10.22.21.06.35,4890593,阿盐是只喵,哈哈哈哈还不算太晚[doge]凌晨发的话就过分了,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5628162395&type=1
5628116741,2021.10.22.20.57.40,4105390,他是光芒,太辣了，斯～,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628105565,2021.10.22.20.54.48,41904692,单推盐盐喵的头号迷弟,来啦来啦，是久违的vlog[打call][打call],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628168887,2021.10.22.21.06.46,4890593,阿盐是只喵,[热词系列_好耶]以后还会多拍,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5628105565&type=1
5628084770,2021.10.22.20.51.53,26532237,喵猫猫猫颜,好耶！是新vlog,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=463709584&mode=3
5628100092,2021.10.22.20.53.46,4890593,阿盐是只喵,好耶！你最喜欢的vlog环节,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=463709584&mode=3&root=5628084770&type=1
